Carrera                              ,Puntaje_Minimo ,Cupos ,Año-Periodo
Español_Y_Filología_Clásica          ,      625.3150 ,   40 ,     2018.1
Estadística                          ,      659.3562 ,   61 ,     2018.1
Estudios_Literarios                  ,      659.2387 ,   43 ,     2018.1
Farmacia                             ,      672.0521 ,   52 ,     2018.1
Filología_e_Idiomas:_Alemán          ,      650.0796 ,   21 ,     2018.1
Filología_e_Idiomas:_Francés         ,      642.4562 ,   24 ,     2018.1
Filología_e_Idiomas:_Inglés          ,      650.2558 ,   45 ,     2018.1
Filosofía                            ,      635.9991 ,   60 ,     2018.1
Física                               ,      713.4000 ,   79 ,     2018.1
Fonoaudiología                       ,      620.0432 ,   75 ,     2018.1
Geografía                            ,      629.3533 ,   42 ,     2018.1
Geología                             ,      714.8747 ,   33 ,     2018.1
Historia                             ,      634.6502 ,   60 ,     2018.1
Ingeniería_Agrícola                  ,      638.6990 ,  120 ,     2018.1
Ingeniería_Agronómica                ,      631.7825 ,  125 ,     2018.1
Ingeniería_Civil                     ,      691.8345 ,  118 ,     2018.1
Ingeniería_de_Sistemas_y_Computación ,      703.1983 ,  105 ,     2018.1
Ingeniería_Eléctrica                 ,      689.7576 ,   54 ,     2018.1
Ingeniería_Electrónica               ,      715.3468 ,   60 ,     2018.1
Ingeniería_Industrial                ,      708.4429 ,   44 ,     2018.1
Ingeniería_Mecánica                  ,      708.0611 ,   82 ,     2018.1
Ingeniería_Mecatrónica               ,      780.1754 ,   52 ,     2018.1
Ingeniería_Química                   ,      689.3737 ,  134 ,     2018.1
Lingüística                          ,      625.3548 ,   37 ,     2018.1
Matemáticas                          ,      694.0980 ,   52 ,     2018.1
Medicina                             ,      760.5462 ,  129 ,     2018.1
Medicina_Veterinaria                 ,      650.1111 ,   57 ,     2018.1
Nutrición_Y_Dietética                ,      647.2770 ,   49 ,     2018.1
Odontología                          ,      634.9020 ,   80 ,     2018.1
Psicología                           ,      659.5554 ,   70 ,     2018.1
Química                              ,      666.5013 ,   75 ,     2018.1
Sociología                           ,      645.8127 ,   50 ,     2018.1
Terapia_Ocupacional                  ,      620.2592 ,   60 ,     2018.1
Trabajo_Social                       ,      629.0533 ,   42 ,     2018.1
Zootecnia                            ,      625.0611 ,   59 ,     2018.1
Administración_de_Empresas           ,      626.6614 ,  120 ,     2018.6
Antropología                         ,      644.6637 ,   35 ,     2018.6
Arquitectura                         ,      653.7084 ,   84 ,     2018.6
Biología                             ,      695.3017 ,   30 ,     2018.6
Ciencia_Política                     ,      638.4985 ,   90 ,     2018.6
Ciencias_de_la_Computación           ,      674.6889 ,   28 ,     2018.6
Contaduría_Pública                   ,      615.4406 ,  120 ,     2018.6
Derecho                              ,      656.6672 ,   82 ,     2018.6
Diseño_Gráfico                       ,      677.5509 ,   30 ,     2018.6
Diseño_Industrial                    ,      651.9488 ,   50 ,     2018.6
Economía                             ,      643.8355 ,  120 ,     2018.6
Enfermería                           ,      617.1948 ,  120 ,     2018.6
Español_Y_Filología Clásica          ,      619.9233 ,   35 ,     2018.6
Estadística                          ,      639.2277 ,   57 ,     2018.6
Farmacia                             ,      663.4930 ,   56 ,     2018.6
Filología_e_Idiomas:_Alemán          ,      628.7428 ,   22 ,     2018.6
Filología_e_Idiomas:_Francés         ,      630.6264 ,   22 ,     2018.6
Filología_e_Idiomas:_Inglés          ,      634.3146 ,   42 ,     2018.6
Filosofía                            ,      625.6443 ,   50 ,     2018.6
Física                               ,      674.0000 ,   78 ,     2018.6
Terapia_Ocupacional                  ,      639.5151 ,   45 ,     2018.6
Geografía                            ,      613.3784 ,   36 ,     2018.6
Geología                             ,      687.7567 ,   32 ,     2018.6
Ingeniería_Agrícola                  ,      616.8581 ,  110 ,     2018.6
Ingeniería_Agronómica                ,      614.8490 ,   90 ,     2018.6
Ingeniería_Civil                     ,      658.9023 ,  110 ,     2018.6
Ingeniería_de_Sistemas_y_Computación ,      659.5099 ,   97 ,     2018.6
Ingeniería_Eléctrica                 ,      650.4384 ,   55 ,     2018.6
Ingeniería_Electrónica               ,      674.1568 ,   60 ,     2018.6
Ingeniería_Industrial                ,      681.9669 ,   44 ,     2018.6
Ingeniería_Mecánica                  ,      662.5829 ,   82 ,     2018.6
Ingeniería_Mecatrónica               ,      710.6568 ,   45 ,     2018.6
Ingeniería_Química                   ,      648.2030 ,  120 ,     2018.6
Lingüística                          ,      616.6317 ,   37 ,     2018.6
Matemáticas                          ,      678.6017 ,   32 ,     2018.6
Medicina                             ,      744.7845 ,  119 ,     2018.6
Medicina_Veterinaria                 ,      637.7708 ,   49 ,     2018.6
Nutrición_Y_Dietética                ,      629.9994 ,   51 ,     2018.6
Odontología                          ,      616.7362 ,   73 ,     2018.6
Psicología                           ,      642.5022 ,   70 ,     2018.6
Química                              ,      639.1479 ,   75 ,     2018.6
Sociología                           ,      632.4203 ,   45 ,     2018.6
Trabajo_Social                       ,      617.1329 ,   42 ,     2018.6
Zootecnia                            ,      609.2017 ,   60 ,     2018.6
Diseño_Industrial                    ,      672.6489 ,   50 ,     2019.1
Diseño_Gráfico                       ,      678.1830 ,   32 ,     2019.1
Biología                             ,      728.2660 ,   30 ,     2019.1
Estadística                          ,      681.5716 ,   55 ,     2019.1
Farmacia                             ,      682.9627 ,   56 ,     2019.1
Física                               ,      726.0368 ,   73 ,     2019.1
Geología                             ,      706.6311 ,   33 ,     2019.1
Matemáticas                          ,      713.0775 ,   45 ,     2019.1
Química                              ,      671.4858 ,   75 ,     2019.1
Ciencias_de_la_Computación           ,      707.0986 ,   33 ,     2019.1
Administración_de_Empresas           ,      652.3063 ,  120 ,     2019.1
Contaduría_Pública                   ,      637.2641 ,  128 ,     2019.1
Economía                             ,      681.2656 ,  120 ,     2019.1
Geografía                            ,      629.0294 ,   35 ,     2019.1
Historia                             ,      645.4152 ,   60 ,     2019.1
Antropología                         ,      662.0044 ,   35 ,     2019.1
Filosofía                            ,      645.7763 ,   50 ,     2019.1
Estudios_Literarios                  ,      650.4933 ,   43 ,     2019.1
Filología_e_Idiomas:_Alemán          ,      648.5624 ,   21 ,     2019.1
Filología_e_Idiomas:_Francés         ,      649.1097 ,   22 ,     2019.1
Filología_e_Idiomas:_Inglés          ,      652.0954 ,   44 ,     2019.1
Lingüística                          ,      626.2433 ,   45 ,     2019.1
Español_Y_Filología_Clásica          ,      637.3839 ,   40 ,     2019.1
Psicología                           ,      663.7908 ,   75 ,     2019.1
Sociología                           ,      653.7830 ,   39 ,     2019.1
Trabajo_Social                       ,      637.7145 ,   41 ,     2019.1
Derecho                              ,      688.6470 ,   82 ,     2019.1
Ciencia_Política                     ,      657.8519 ,   90 ,     2019.1
Ingeniería_Agrícola                  ,      637.8989 ,  106 ,     2019.1
Ingeniería_Civil                     ,      694.6960 ,  109 ,     2019.1
Ingeniería_Eléctrica                 ,      690.7929 ,   55 ,     2019.1
Ingeniería_Mecánica                  ,      702.5432 ,   81 ,     2019.1
Ingeniería_Química                   ,      687.6607 ,  129 ,     2019.1
Ingeniería_de_Sistemas_y_Computación ,      700.5173 ,  100 ,     2019.1
Ingeniería_Electrónica               ,      721.8709 ,   60 ,     2019.1
Ingeniería_Industrial                ,      710.3484 ,   44 ,     2019.1
Ingeniería_Mecatrónica               ,      775.8461 ,   45 ,     2019.1
Medicina                             ,      776.6215 ,  122 ,     2019.1
Nutrición_Y_Dietética                ,      652.4565 ,   50 ,     2019.1
Fonoaudiología                       ,      625.3862 ,   75 ,     2019.1
Terapia_Ocupacional                  ,      625.2646 ,   60 ,     2019.1
Enfermería                           ,      643.9633 ,   89 ,     2019.1
Odontología                          ,      638.5678 ,   75 ,     2019.1
Ingeniería_Agronómica                ,      635.6240 ,   90 ,     2019.1
Medicina_Veterinaria                 ,      658.7451 ,   50 ,     2019.1
Zootecnia                            ,      629.7345 ,   55 ,     2019.1
Arquitectura                         ,      654.2464 ,   80 ,     2019.6
Diseño_Gráfico                       ,      652.9164 ,   32 ,     2019.6
Diseño_Industrial                    ,      637.8122 ,   44 ,     2019.6
Biología                             ,      695.1920 ,   27 ,     2019.6
Estadística                          ,      629.7472 ,   57 ,     2019.6
Farmacia                             ,      663.1751 ,   54 ,     2019.6
Física                               ,      672.2194 ,   74 ,     2019.6
Geología                             ,      677.9022 ,   33 ,     2019.6
Matemáticas                          ,      664.3267 ,   30 ,     2019.6
Química                              ,      635.8051 ,   70 ,     2019.6
Ciencias_de_la_Computación           ,      659.7326 ,   33 ,     2019.6
Administración_de_Empresas           ,      624.1718 ,  109 ,     2019.6
Contaduría_Pública                   ,      612.6359 ,  110 ,     2019.6
Economía                             ,      637.1900 ,  110 ,     2019.6
Geografía                            ,      614.5417 ,   32 ,     2019.6
Antropología                         ,      635.9004 ,   35 ,     2019.6
Filosofía                            ,      615.2330 ,   50 ,     2019.6
Filología_e_Idiomas:_Alemán          ,      624.4569 ,   16 ,     2019.6
Filología_e_Idiomas:_Francés         ,      629.9796 ,   16 ,     2019.6
Filología_e_Idiomas:_Inglés          ,      631.8801 ,   33 ,     2019.6
Lingüística                          ,      606.4482 ,   45 ,     2019.6
Español_Y_Filología_Clásica          ,      614.6980 ,   42 ,     2019.6
Psicología                           ,      635.6348 ,   75 ,     2019.6
Sociología                           ,      623.0243 ,   47 ,     2019.6
Trabajo_Social                       ,      614.8498 ,   42 ,     2019.6
Derecho                              ,      658.8486 ,   82 ,     2019.6
Ciencia_Política                     ,      630.5075 ,   90 ,     2019.6
Ingeniería_Agrícola                  ,      606.8497 ,   95 ,     2019.6
Ingeniería_Civil                     ,      643.7972 ,  120 ,     2019.6
Ingeniería_Eléctrica                 ,      644.9933 ,   60 ,     2019.6
Ingeniería_Mecánica                  ,      641.7017 ,   82 ,     2019.6
Ingeniería_Química                   ,      631.2948 ,  140 ,     2019.6
Ingeniería_de_Sistemas_y_Computación ,      660.3935 ,  100 ,     2019.6
Ingeniería_Electrónica               ,      668.5883 ,   65 ,     2019.6
Ingeniería_Industrial                ,      655.0716 ,   46 ,     2019.6
Ingeniería_Mecatrónica               ,      713.1872 ,   40 ,     2019.6
Terapia_Ocupacional                  ,      632.8694 ,   46 ,     2019.6
Medicina                             ,      737.1309 ,  130 ,     2019.6
Nutrición_Y_Dietética                ,      632.5613 ,   46 ,     2019.6
Enfermería                           ,      625.0761 ,   80 ,     2019.6
Odontología                          ,      619.1317 ,   75 ,     2019.6
Ingeniería_Agronómica                ,      608.9784 ,   90 ,     2019.6
Medicina_Veterinaria                 ,      640.7479 ,   50 ,     2019.6
Zootecnia                            ,      610.4868 ,   55 ,     2019.6
Arquitectura                         ,      668.1536 ,   82 ,     2020.1
Diseño_Gráfico                       ,      683.5642 ,   32 ,     2020.1
Diseño_Industrial                    ,      659.7461 ,   46 ,     2020.1
Biología                             ,      699.9824 ,   48 ,     2020.1
Estadística                          ,      668.7146 ,   47 ,     2020.1
Farmacia                             ,      683.7646 ,   54 ,     2020.1
Física                               ,      725.8575 ,   89 ,     2020.1
Geología                             ,      692.7388 ,   33 ,     2020.1
Matemáticas                          ,      724.7126 ,   32 ,     2020.1
Química                              ,      670.3881 ,   69 ,     2020.1
Ciencias_de_la_Computación           ,      707.6533 ,   28 ,     2020.1
Administración_de_Empresas           ,      653.3345 ,   70 ,     2020.1
Contaduría_Pública                   ,      638.5212 ,  100 ,     2020.1
Economía                             ,      667.3140 ,  105 ,     2020.1
Geografía                            ,      626.4404 ,   32 ,     2020.1
Historia                             ,      627.5738 ,   60 ,     2020.1
Antropología                         ,      658.6011 ,   35 ,     2020.1
Filosofía                            ,      626.1694 ,   50 ,     2020.1
Estudios_Literarios                  ,      660.6105 ,   44 ,     2020.1
Filología_e_Idiomas:_Alemán          ,      650.0600 ,   22 ,     2020.1
Filología_e_Idiomas:_Francés         ,      646.6024 ,   22 ,     2020.1
Filología_e_Idiomas:_Inglés          ,      651.7011 ,   43 ,     2020.1
Lingüística                          ,      624.5093 ,   50 ,     2020.1
Español_Y_Filología_Clásica          ,      623.7555 ,   44 ,     2020.1
Psicología                           ,      673.1798 ,   60 ,     2020.1
Sociología                           ,      646.5680 ,   45 ,     2020.1
Trabajo_Social                       ,      631.1059 ,   42 ,     2020.1
Derecho                              ,      681.2057 ,   80 ,     2020.1
Ciencia_Política                     ,      647.2855 ,   86 ,     2020.1
Ingeniería_Agrícola                  ,      627.5051 ,  105 ,     2020.1
Ingeniería_Civil                     ,      678.5037 ,  109 ,     2020.1
Ingeniería_Eléctrica                 ,      677.0153 ,   60 ,     2020.1
Ingeniería_Mecánica                  ,      685.9037 ,   81 ,     2020.1
Ingeniería_Química                   ,      672.0540 ,  134 ,     2020.1
Ingeniería_de_Sistemas_y_Computación ,      698.8107 ,  100 ,     2020.1
Ingeniería_Electrónica               ,      712.2769 ,   60 ,     2020.1
Ingeniería_Industrial                ,      683.9687 ,   44 ,     2020.1
Ingeniería_Mecatrónica               ,      767.7845 ,   45 ,     2020.1
Medicina                             ,      757.9305 ,  128 ,     2020.1
Nutrición_Y_Dietética                ,      648.2854 ,   46 ,     2020.1
Fonoaudiología                       ,      621.3111 ,   60 ,     2020.1
Terapia_Ocupacional                  ,      619.5499 ,   55 ,     2020.1
Enfermería                           ,      638.8036 ,   79 ,     2020.1
Odontología                          ,      627.1788 ,   90 ,     2020.1
Ingeniería_Agronómica                ,      625.1466 ,  100 ,     2020.1
Medicina_Veterinaria                 ,      655.1168 ,   50 ,     2020.1
Zootecnia                            ,      621.2348 ,   60 ,     2020.1
Arquitectura                         ,      624.6154 ,   81 ,     2020.6
Diseño_Gráfico                       ,      655.9583 ,   31 ,     2020.6
Diseño_Industrial                    ,      627.6876 ,   48 ,     2020.6
Biología                             ,      639.7632 ,   49 ,     2020.6
Estadística                          ,      619.6202 ,   43 ,     2020.6
Farmacia                             ,      628.4616 ,   52 ,     2020.6
Física                               ,      659.2308 ,   65 ,     2020.6
Geología                             ,      641.4770 ,   31 ,     2020.6
Matemáticas                          ,      628.9401 ,   28 ,     2020.6
Química                              ,      602.3076 ,   66 ,     2020.6
Ciencias_de_la_Computación           ,      632.6910 ,   27 ,     2020.6
Administración_de_Empresas           ,      599.2308 ,   65 ,     2020.6
Contaduría_Pública                   ,      564.6154 ,  104 ,     2020.6
Economía                             ,      626.4041 ,  103 ,     2020.6
Geografía                            ,      563.0770 ,   26 ,     2020.6
Antropología                         ,      630.0000 ,   33 ,     2020.6
Filosofía                            ,      585.3846 ,   45 ,     2020.6
Filología_e_Idiomas:_Alemán          ,      595.3846 ,   21 ,     2020.6
Filología_e_Idiomas:_Francés         ,      573.0770 ,   21 ,     2020.6
Filología_e_Idiomas:_Inglés          ,      610.7692 ,   43 ,     2020.6
Lingüística                          ,      524.6154 ,   45 ,     2020.6
Español_Y_Filología_Clásica          ,      570.0000 ,   46 ,     2020.6
Psicología                           ,      635.3846 ,   55 ,     2020.6
Sociología                           ,      593.0770 ,   43 ,     2020.6
Trabajo_Social                       ,      593.8462 ,   31 ,     2020.6
Derecho                              ,      630.0000 ,   74 ,     2020.6
Ciencia_Política                     ,      603.6164 ,   76 ,     2020.6
Ingeniería_Agrícola                  ,      467.0261 ,   87 ,     2020.6
Ingeniería_Civil                     ,      617.4947 ,  115 ,     2020.6
Ingeniería_Eléctrica                 ,      571.2955 ,   52 ,     2020.6
Ingeniería_Mecánica                  ,      631.9073 ,   75 ,     2020.6
Ingeniería_Química                   ,      610.0585 ,  125 ,     2020.6
Ingeniería_de_Sistemas_y_Computación ,      651.1641 ,  100 ,     2020.6
Ingeniería_Electrónica               ,      628.8199 ,   64 ,     2020.6
Ingeniería_Industrial                ,      622.7582 ,   51 ,     2020.6
Ingeniería_Mecatrónica               ,      657.1967 ,   41 ,     2020.6
Terapia_Ocupacional                  ,      613.6618 ,   38 ,     2020.6
Medicina                             ,      704.5464 ,  115 ,     2020.6
Nutrición_Y_Dietética                ,      614.7569 ,   38 ,     2020.6
Enfermería                           ,      594.6192 ,   80 ,     2020.6
Odontología                          ,      589.9842 ,   65 ,     2020.6
Ingeniería_Agronómica                ,      542.3076 ,   80 ,     2020.6
Medicina_Veterinaria                 ,      623.8462 ,   48 ,     2020.6
Zootecnia                            ,      506.1538 ,   54 ,     2020.6
Arquitectura                         ,      634.5596 ,   82 ,     2021.1
Diseño_Gráfico                       ,      648.6145 ,   30 ,     2021.1
Diseño_Industrial                    ,      618.3792 ,   42 ,     2021.1
Biología                             ,      679.6131 ,   32 ,     2021.1
Estadística                          ,      586.5304 ,   43 ,     2021.1
Farmacia                             ,      636.5459 ,   42 ,     2021.1
Física                               ,      673.0330 ,   63 ,     2021.1
Geología                             ,      646.6132 ,   31 ,     2021.1
Matemáticas                          ,      664.6909 ,   27 ,     2021.1
Química                              ,      607.1973 ,   55 ,     2021.1
Ciencias_de_la_Computación           ,      666.7855 ,   27 ,     2021.1
Administración_de_Empresas           ,      617.7782 ,   66 ,     2021.1
Contaduría_Pública                   ,      572.8721 ,  106 ,     2021.1
Economía                             ,      639.3867 ,  106 ,     2021.1
Geografía                            ,      544.2021 ,   27 ,     2021.1
Historia                             ,      599.1689 ,   55 ,     2021.1
Antropología                         ,      635.5138 ,   32 ,     2021.1
Filosofía                            ,      600.9360 ,   44 ,     2021.1
Estudios_Literarios                  ,      628.0101 ,   40 ,     2021.1
Filología_e_Idiomas:_Alemán          ,      620.3778 ,   22 ,     2021.1
Filología_e_Idiomas:_Francés         ,      599.0331 ,   22 ,     2021.1
Filología_e_Idiomas:_Inglés          ,      623.7765 ,   42 ,     2021.1
Lingüística                          ,      535.9715 ,   37 ,     2021.1
Español_Y_Filología_Clásica          ,      556.3347 ,   39 ,     2021.1
Psicología                           ,      646.5473 ,   55 ,     2021.1
Sociología                           ,      598.9914 ,   54 ,     2021.1
Trabajo_Social                       ,      589.0017 ,   38 ,     2021.1
Derecho                              ,      666.4303 ,   75 ,     2021.1
Ciencia_Política                     ,      629.2563 ,   75 ,     2021.1
Ingeniería_Agrícola                  ,      394.8944 ,   85 ,     2021.1
Ingeniería_Civil                     ,      616.5741 ,  120 ,     2021.1
Ingeniería_Eléctrica                 ,      574.5743 ,   55 ,     2021.1
Ingeniería_Mecánica                  ,      629.7095 ,   77 ,     2021.1
Ingeniería_Química                   ,      627.7252 ,  123 ,     2021.1
Ingeniería_de_Sistemas_y_Computación ,      661.2577 ,  104 ,     2021.1
Ingeniería_Electrónica               ,      633.4291 ,   58 ,     2021.1
Ingeniería_Industrial                ,      640.0777 ,   53 ,     2021.1
Ingeniería_Mecatrónica               ,      695.9288 ,   42 ,     2021.1
Medicina                             ,      746.5882 ,  123 ,     2021.1
Nutrición_Y_Dietética                ,      624.5899 ,   33 ,     2021.1
Fonoaudiología                       ,      536.6920 ,   44 ,     2021.1
Terapia_Ocupacional                  ,      548.2876 ,   35 ,     2021.1
Enfermería                           ,      570.1046 ,   81 ,     2021.1
Odontología                          ,      567.8926 ,   60 ,     2021.1
Ingeniería_Agronómica                ,      534.8438 ,   77 ,     2021.1
Medicina_Veterinaria                 ,      620.1431 ,   48 ,     2021.1
Zootecnia                            ,      511.0879 ,   55 ,     2021.1
Arquitectura                         ,      593.0175 ,   80 ,     2021.6
Diseño_Gráfico                       ,      610.0583 ,   30 ,     2021.6
Diseño_Industrial                    ,      573.7039 ,   42 ,     2021.6
Biología                             ,      617.4011 ,   32 ,     2021.6
Estadística                          ,      562.5671 ,   43 ,     2021.6
Farmacia                             ,      629.4526 ,   42 ,     2021.6
Física                               ,      629.3086 ,   63 ,     2021.6
Geología                             ,      602.7032 ,   31 ,     2021.6
Matemáticas                          ,      605.3052 ,   32 ,     2021.6
Química                              ,      561.8306 ,   55 ,     2021.6
Ciencias_de_la_Computación           ,      604.9196 ,   32 ,     2021.6
Administración_de_Empresas           ,      574.3797 ,   65 ,     2021.6
Contaduría_Pública                   ,      525.8262 ,  106 ,     2021.6
Economía                             ,      576.4163 ,  106 ,     2021.6
Geografía                            ,      515.5632 ,   32 ,     2021.6
Antropología                         ,      579.8407 ,   32 ,     2021.6
Filosofía                            ,      528.1965 ,   44 ,     2021.6
Filología_e_Idiomas:_Alemán          ,      538.9411 ,   22 ,     2021.6
Filología_e_Idiomas:_Francés         ,      559.2508 ,   22 ,     2021.6
Filología_e_Idiomas:_Inglés          ,      570.0775 ,   42 ,     2021.6
Lingüística                          ,      518.8647 ,   37 ,     2021.6
Español_Y_Filología_Clásica          ,      540.6508 ,   38 ,     2021.6
Psicología                           ,      601.8528 ,   55 ,     2021.6
Sociología                           ,      565.2935 ,   43 ,     2021.6
Trabajo_Social                       ,      539.0054 ,   38 ,     2021.6
Derecho                              ,      609.7379 ,   75 ,     2021.6
Ciencia_Política                     ,      564.9670 ,   75 ,     2021.6
Ingeniería_Agrícola                  ,      462.3432 ,   85 ,     2021.6
Ingeniería_Civil                     ,      567.6207 ,  120 ,     2021.6
Ingeniería_Eléctrica                 ,      552.7433 ,   55 ,     2021.6
Ingeniería_Mecánica                  ,      542.4425 ,   77 ,     2021.6
Ingeniería_Química                   ,      543.3777 ,  123 ,     2021.6
Ingeniería_de_Sistemas_y_Computación ,      626.2742 ,  104 ,     2021.6
Ingeniería_Electrónica               ,      573.4885 ,   58 ,     2021.6
Ingeniería_Industrial                ,      603.0334 ,   50 ,     2021.6
Ingeniería_Mecatrónica               ,      632.5352 ,   42 ,     2021.6
Terapia_Ocupacional                  ,      553.6421 ,   44 ,     2021.6
Medicina                             ,      717.0193 ,  123 ,     2021.6
Nutrición_Y_Dietética                ,      598.4453 ,   33 ,     2021.6
Enfermería                           ,      575.5677 ,   80 ,     2021.6
Odontología                          ,      557.5500 ,   60 ,     2021.6
Ingeniería_Agronómica                ,      488.8745 ,   88 ,     2021.6
Medicina_Veterinaria                 ,      589.1800 ,   53 ,     2021.6
Zootecnia                            ,      507.2087 ,   55 ,     2021.6
Estadística                          ,      611.9570 ,   45 ,     2022.1
Historia                             ,      562.7334 ,   55 ,     2022.1
Antropología                         ,      621.202  ,   32 ,     2022.1
Filosofía                            ,      580.9195 ,   44 ,     2022.1
Estudios_Literarios                  ,      604.0999 ,   40 ,     2022.1
Filología_e_Idiomas:_Alemán          ,      586.2757 ,   22 ,     2022.1
Filología_e_Idiomas:_Francés         ,      574.8264 ,   22 ,     2022.1
Filología_e_Idiomas:_Inglés          ,      610.8512 ,   44 ,     2022.1
Lingüística                          ,      508.2096 ,   32 ,     2022.1
Español_Y_Filología_Clásica          ,      490.0707 ,   35 ,     2022.1
Psicología                           ,      638.6076 ,   44 ,     2022.1
Sociología                           ,      574.5777 ,   44 ,     2022.1
Trabajo_Social                       ,      559.7353 ,   33 ,     2022.1
Derecho                              ,      649.3453 ,   77 ,     2022.1
Ciencia_Política                     ,      601.7071 ,   77 ,     2022.1
Ingeniería_Agrícola                  ,      484.1211 ,   80 ,     2022.1
Ingeniería_Civil                     ,      609.1454 ,  115 ,     2022.1
Ingeniería_Eléctrica                 ,      557.4286 ,   55 ,     2022.1
Ingeniería_Mecánica                  ,      621.3773 ,   77 ,     2022.1
Ingeniería_Química                   ,      610.9822 ,  125 ,     2022.1
Ingeniería_de_Sistemas_y_Computación ,      669.2277 ,   95 ,     2022.1
Ingeniería_Electrónica               ,      621.2935 ,   58 ,     2022.1
Ingeniería_Industrial                ,      648.0705 ,   42 ,     2022.1
Ingeniería_Mecatrónica               ,      665.7033 ,   45 ,     2022.1
Medicina                             ,      734.6606 ,  110 ,     2022.1
Nutrición_Y_Dietética                ,      606.8093 ,   36 ,     2022.1
Fonoaudiología                       ,      528.4182 ,   48 ,     2022.1
Terapia_Ocupacional                  ,      504.5307 ,   51 ,     2022.1
Enfermería                           ,      578.1927 ,   81 ,     2022.1
Odontología                          ,      603.6396 ,   33 ,     2022.1
Ingeniería_Agronómica                ,      497.297  ,   95 ,     2022.1
Medicina_Veterinaria                 ,      615.9419 ,   53 ,     2022.1
Zootecnia                            ,      487.0247 ,   55 ,     2022.1
Arquitectura                         ,      630.7338 ,   80 ,     2022.1
Diseño_Gráfico                       ,      649.5104 ,   30 ,     2022.1
Diseño_Industrial                    ,      579.8053 ,   54 ,     2022.1
Biología                             ,      648.4059 ,   44 ,     2022.1
Farmacia                             ,      647.8754 ,   42 ,     2022.1
Física                               ,      656.9106 ,   63 ,     2022.1
Geología                             ,      638.5366 ,   31 ,     2022.1
Matemáticas                          ,      653.4717 ,   33 ,     2022.1
Química                              ,      601.8141 ,   55 ,     2022.1
Ciencias_de_la_Computación           ,      632.4192 ,   32 ,     2022.1
Administración_de_Empresas           ,      590.8740 ,  110 ,     2022.1
Contaduría_Pública                   ,      553.3043 ,  111 ,     2022.1
Economía                             ,      623.0379 ,  110 ,     2022.1
Geografía                            ,      505.8238 ,   27 ,     2022.1
Arquitectura                         ,      599.1092 ,   85 ,     2022.6
Diseño_Gráfico                       ,      619.4844 ,   32 ,     2022.6
Diseño_Industrial                    ,      560.11   ,   57 ,     2022.6
Biología                             ,      620.1958 ,   45 ,     2022.6
Farmacia                             ,      620.654  ,   46 ,     2022.6
Física                               ,      611.3908 ,   68 ,     2022.6
Geología                             ,      601.2954 ,   34 ,     2022.6
Matemáticas                          ,      578.6083 ,   34 ,     2022.6
Química                              ,      570.9435 ,   57 ,     2022.6
Ciencias_de_la_Computación           ,      609.8612 ,   34 ,     2022.6
Administración_de_Empresas           ,      537.5114 ,  113 ,     2022.6
Contaduría_Pública                   ,      516.9809 ,  113 ,     2022.6
Economía                             ,      574.0008 ,  114 ,     2022.6
Geografía                            ,      520.0854 ,   28 ,     2022.6
Estadística                          ,      556.0997 ,   43 ,     2022.6
Antropología                         ,      587.2567 ,   34 ,     2022.6
Filosofía                            ,      538.4537 ,   46 ,     2022.6
Filología_e_Idiomas:_Alemán          ,      528.1689 ,   23 ,     2022.6
Filología_e_Idiomas:_Francés         ,      555.3317 ,   23 ,     2022.6
Filología_e_Idiomas:_Inglés          ,      574.4115 ,   45 ,     2022.6
Lingüística                          ,      508.4512 ,   34 ,     2022.6
Español_Y_Filología_Clásica          ,      531.4780 ,   34 ,     2022.6
Psicología                           ,      613.2317 ,   45 ,     2022.6
Sociología                           ,      552.0729 ,   45 ,     2022.6
Trabajo_Social                       ,      552.7194 ,   34 ,     2022.6
Derecho                              ,      607.8725 ,   79 ,     2022.6
Ciencia_Política                     ,      565.2321 ,   79 ,     2022.6
Ingeniería_Agrícola                  ,      452.6353 ,   86 ,     2022.6
Ingeniería_Civil                     ,      551.1659 ,  119 ,     2022.6
Ingeniería_Eléctrica                 ,      548.5766 ,   57 ,     2022.6
Ingeniería_Mecánica                  ,      569.9727 ,   79 ,     2022.6
Ingeniería_Química                   ,      528.2467 ,  130 ,     2022.6
Ingeniería_de_Sistemas_y_Computación ,      631.8037 ,  102 ,     2022.6
Ingeniería_Electrónica               ,      585.1539 ,   62 ,     2022.6
Ingeniería_Industrial                ,      610.0324 ,   45 ,     2022.6
Ingeniería_Mecatrónica               ,      611.2210 ,   45 ,     2022.6
Medicina                             ,      702.4599 ,  110 ,     2022.6
Nutrición_Y_Dietética                ,      597.6823 ,   34 ,     2022.6
Terapia_Ocupacional                  ,      577.5398 ,   45 ,     2022.6
Enfermería                           ,      566.9814 ,   80 ,     2022.6
Odontología                          ,      574.4456 ,   34 ,     2022.6
Ingeniería_Agronómica                ,      457.6353 ,   90 ,     2022.6
Medicina_Veterinaria                 ,      592.1892 ,   51 ,     2022.6
Zootecnia                            ,      483.2332 ,   57 ,     2022.6
Biología                             ,      690.1503 ,   44 ,     2023.1
Estadística                          ,      635.9726 ,   42 ,     2023.1
Economía                             ,      652.4598 ,  107 ,     2023.1
Farmacia                             ,      669.4191 ,   48 ,     2023.1
Física                               ,      706.2618 ,   65 ,     2023.1
Geología                             ,      634.9157 ,   33 ,     2023.1
